iter	MultiClass
0	0.6752698623
1	0.6617056616
2	0.651430484
3	0.6420421854
4	0.6338995645
5	0.6255388201
6	0.6167789601
7	0.6090043435
8	0.6031223427
9	0.5964739686
10	0.5916561036
11	0.5852789334
12	0.5784372758
13	0.5723014746
14	0.5672566785
15	0.5626266838
16	0.5577381357
17	0.5532640045
18	0.5485681221
19	0.5445523242
20	0.5408436139
21	0.537959442
22	0.5337315586
23	0.5301531387
24	0.5258928686
25	0.5224266965
26	0.5193267987
27	0.5161030113
28	0.513115366
29	0.5103075911
30	0.507800242
31	0.5042434333
32	0.5017993096
33	0.4987532171
34	0.4963070938
35	0.4937058898
36	0.4915322034
37	0.4881616386
38	0.4864189813
39	0.4844448719
40	0.48228398
41	0.480488478
42	0.4780649802
43	0.4759132179
44	0.4740757487
45	0.4720720488
46	0.4703151291
47	0.46754578
48	0.4659338361
49	0.464539514
50	0.4629116487
51	0.4614396584
52	0.4592056458
53	0.4570257168
54	0.4545569888
55	0.4533257495
56	0.4514470513
57	0.449200619
58	0.4480457849
59	0.4468081297
60	0.4453268436
61	0.4442405931
62	0.4430807259
63	0.4415332567
64	0.4406050591
65	0.4392500562
66	0.4383065411
67	0.436821216
68	0.435585732
69	0.4337007305
70	0.4326717821
71	0.4313202104
72	0.4305811754
73	0.4295017061
74	0.4286846428
75	0.4273340672
76	0.4262011829
77	0.4249513333
78	0.42379435
79	0.4228361216
80	0.4221158656
81	0.4210755174
82	0.4198132174
83	0.4183012666
84	0.4170219599
85	0.4158171866
86	0.4151786982
87	0.4143417531
88	0.4129986766
89	0.4121461367
90	0.4111664165
91	0.4105054973
92	0.4097857332
93	0.4090879737
94	0.4084887239
95	0.4079100699
96	0.4071024883
97	0.4053414966
98	0.4045266711
99	0.403245736
100	0.4026138792
101	0.4019318476
102	0.4012209049
103	0.401077051
104	0.4004326284
105	0.3991842639
106	0.3987899733
107	0.3981171897
108	0.3977487581
109	0.3971059766
110	0.396401878
111	0.3950372966
112	0.3941978889
113	0.3933331149
114	0.3925181372
115	0.3921600901
116	0.3917428804
117	0.3906375597
118	0.3900801644
119	0.3892650339
120	0.3886502519
121	0.3882716759
122	0.3878009964
123	0.3867631425
124	0.3859608366
125	0.3854113255
126	0.3847992671
127	0.3842684078
128	0.3837594321
129	0.382954818
130	0.3826218
131	0.382088179
132	0.3814625589
133	0.3811730787
134	0.3806095238
135	0.380241864
136	0.3797571507
137	0.3793197945
138	0.3789822814
139	0.3782003247
140	0.3779432072
141	0.3776741598
142	0.3772553931
143	0.376719263
144	0.3763251766
